"region","city","ts_type","post_type","steal_date","ts_brand","ts_model","reg_id","ts_year_prod","engine_id","body_id","frame_id","vin","colour","steal_place"
"Приморский край","Владивосток","Автомобиль","угнали","22.01.2007","Toyota","Master Ace Surf","Е 190 МУ","1990"," "," "," "," ","другие цвета"," "
"Приморский край","Владивосток","Автомобиль","угнали","04.06.2007","Toyota","SURF"," ","1998","1KZ 0600988","KZN185-9029280"," "," ","другие цвета","Стоянка по ул. Жигура, 54"
"Москва и Московская обл.","Москва","Автомобиль","угнали","27.05.2006","Audi","80 B-4","н290ус50","1992"," "," "," "," ","другие цвета","г.Красногорск Моск.обл от дома по ул пушкинская 21"
"Москва и Московская обл.","Москва","Автомобиль","угнали","06.09.2005","Daewoo","NEXIA","с091са97","0"," "," "," "," ","другие цвета"," "
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","17.09.2005","ВАЗ","21099","е119мм98","2001"," "," "," "," ","другие цвета","С-П 6 ул.Дундича 20/1 в 18.20"
"Приморский край","Владивосток","Автомобиль","угнали","02.05.2007","Toyota","aristo","транзит","1999","2jz 0587422","jzs61 0006292"," "," ","другие цвета","Гамарника 15"
"Приморский край","Владивосток","Автомобиль","угнали","21.05.2007","Toyota","Opa","У901РР","2000","1zz 0584347","ZCT10-0007773"," "," ","другие цвета","Комсомольская,1"
"Москва и Московская обл.","Москва","Автомобиль","угнали","27.12.2006","Daewoo","Нексия","У752ОМ 177","2006","469446В","XWB3D31UD6F05946"," "," ","другие цвета","Рядом с метро Молодежная"
"Москва и Московская обл.","Москва","Автомобиль","угнали","15.03.2007","ВАЗ","2115"," ","0"," "," "," "," ","другие цвета","пр-кт 40 лет октября"
"Приморский край","Владивосток","Автомобиль","угнали","17.01.2007","Toyota","HARRIER","Транзит","1997"," "," "," "," ","другие цвета","Первореченский район, ул. Гамарника"
"Москва и Московская обл.","Москва","Автомобиль","угнали","11.10.2005","Mercedes","Е200","А253УА90","1993"," "," "," "," ","другие цвета","г. Москва, Научный проезд, 10"
"Приморский край","Владивосток","Автомобиль","угнали","26.05.2007","Toyota","MARK II","О747ЕУ","2001","1G6892633","GX1100010068"," "," ","другие цвета","г.Владивосток, ул. Некрасовская 53а"
"Москва и Московская обл.","Солнечногорск","Автомобиль","угнали","21.06.2007","Volkswagen","Jetta","р 44ка93","2000","008532","168171"," ","3VWSD29M3YM168171","другие цвета","в ночь на 21 июня 2007 года угнан автомобиль ФольксВаген Джетта(Бора), серебристый,г.р.з р 144 ка 93 . Автомобиль был припаркован по адресу у дома 16 по проспекту Мельникова в г.Химки. Вознаграждение и анонимность гарантирую."
"Свердловская обл.","Екатеринбург","Автомобиль","угнали","20.06.2007","ВАЗ","21124","О798ХО66","2005","1280845","0308992"," ","хта21124050308992","другие цвета","г.Екатеринбург,ул.Большакова,от магазина ""Эльдорадо"""
"Москва и Московская обл.","Москва","Автомобиль","найден","24.06.2007","ВАЗ","2111","С144УУ97","0"," "," "," "," ","другие цвета"," "
"Приморский край","Владивосток","Автомобиль","угнали","12.06.2007","Suzuki","ESCUDO","Х282РС","1992","G16A286513"," "," "," ","другие цвета","УГНАН ИЗ ГАРАЖА(КОНТЕЙНЕР) НА ПРОСПЕКТЕ КРАСНОГО ЗНАМЕНИ ОСТАНОВКА ПЕДУЧИЛИЩА"
"Калининградская обл.","Гурьевск","Автомобиль","угнали","06.04.2007","Audi","А-6","м777ху/39","1996","118018","N066187"," "," ","другие цвета","калининград герцена азс"
"Москва и Московская обл.","Москва","Автомобиль","угнали","15.06.2007","Audi","A4 Quattro","3436 ЕК-7","1998"," ","WAUCB28D4WA123035"," "," ","другие цвета","Москва, ул. Ферганская ,д.9, корп.3"
"Приморский край","Владивосток","Автомобиль","угнали","11.06.2007","Toyota","RAV-4","T326XK","1998","3s2567819","sxa117120532"," "," ","другие цвета","Красного знасного 59, возле ""Домотехники"""
"Ростовская обл.","Батайск","Автомобиль","угнали","28.05.2007","Nissan","ALMERA","о308ох61","2004","254855Q","0506247"," ","SJNBAAN16U0506247","другие цвета","Стачки 115"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","20.06.2007","Nissan","ALMERA","к725рм98","2006"," "," "," "," ","другие цвета","3-я Советская"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","08.12.2006","Toyota","AVENSIS","А760ЕК51","2003"," "," "," ","SB1BR56L10E014199","другие цвета","Санкт-Петербург"
"Приморский край","Владивосток","Автомобиль","угнали","17.08.2005","Toyota","Corolla Filder","б/н","2001","1NZ"," "," "," ","другие цвета","Центр."
"Астраханская обл.","Красный Яр","Автомобиль","угнали","01.06.2007","ВАЗ","21120","е334 ву","2000"," "," "," "," ","другие цвета","Самара, рядом с ""птичий рынок"""
"Москва и Московская обл.","Москва","Автомобиль","угнали","06.06.2006","Mitsubishi","Lancer","к909вн 177","2005"," "," "," "," ","другие цвета","Алтуфьевское шоссе д.96"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","18.05.2007","Ford","ФОКУС-1 США","Е511НЕ98","2002","н/у","1FAFP34312W294801"," ","1FAFP34312W294901","другие цвета","г.Санкт-Петербург"
"Москва и Московская обл.","Москва","Автомобиль","угнали","26.04.2006","ВАЗ","2115i","у567ем","2006"," "," "," "," ","другие цвета","м.Бабушкинская ул. Тайнинская,7-3-103"
"Москва и Московская обл.","Щелково","Автомобиль","угнали","05.07.2006","Honda","civic","х437ек150","2001","d15b3701811","EU1 1200164"," "," ","другие цвета","г.Юбилейный"
"Приморский край","Владивосток","Автомобиль","угнали","31.12.2006","Mitsubishi","delica","конструктр","1996","4M40-BK5971","PE8W-0200563"," "," ","другие цвета","Владивосток ул.Проспект Столетия12.СТО."
"Приморский край","Владивосток","Автомобиль","угнали","27.06.2007","Nissan","x-trail"," ","0"," "," "," "," ","другие цвета","вольно-надеждинское"
"Калужская обл.","Обнинск","Автомобиль","угнали","05.07.2007","ВАЗ","21124","х739хт","2006","1521504","0387743"," ","XTA21124060387743","другие цвета","Рынок около железнодорожного вокзала."
"Москва и Московская обл.","Москва","Автомобиль","угнали","05.07.2007","Honda","CR-V","к618уу97","2004"," "," "," "," ","другие цвета","3й Смоленский пер."
"Москва и Московская обл.","Москва","Автомобиль","угнали","27.03.2005","ВАЗ","21140","н500то97","2004"," "," "," "," ","другие цвета","москва верхние поля 35 от дома"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","02.07.2007","BMW","528ia","Е865АМ98","2000"," "," "," ","x4xdm6804y0000236","другие цвета","Гражданский пр.18(от магазина ""Максидом"")"
"Приморский край","Находка","Автомобиль","угнали","01.05.2007","Toyota","hiace","a784me","1993","1kz0039924","kzh1060004545"," "," ","другие цвета","п.Врангель"
"Москва и Московская обл.","Москва","Автомобиль","угнали","03.07.2007","Mazda","3","в012рт177","2006"," "," "," "," ","другие цвета","Ленинградский проспект д.54/1"
"Татарстан","Рыбная Слобода","Автомобиль","угнали","09.09.2005","ВАЗ","21099","О97ЗММ52","2004"," "," "," "," ","другие цвета","ГОРОД НОВОЧЕБОКСАРСК"
"Москва и Московская обл.","Ногинск","Автомобиль","угнали","20.04.2006","Audi","ауди 100","е882нт99","1991","аае010792","070778"," ","WAUZZZ4AZMA070778","другие цвета","ногинск"
"Приморский край","Владивосток","Автомобиль","угнали","22.05.2004","Toyota","land cruiser","у724ем/25r","1991","1hz00551525","7001977"," ","jt111pj8007001977","другие цвета","Эгершельд, ул.Крыгина."
"Москва и Московская обл.","Москва","Автомобиль","угнали","05.05.2006","ВАЗ","2108i","Е551ОР","0"," "," "," "," ","другие цвета","м Выхино"
"Приморский край","Владивосток","Автомобиль","угнали","21.01.2007","Honda","CR-V","транзит","1997","B20B-1144495","RD1-1105769"," "," ","другие цвета","ул.Октябрьская 2"
"Приморский край","Владивосток","Автомобиль","угнали","04.07.2007","Nissan","Glorya","MB3076","1999","RB25337661A","ENY34700363"," ","ОТСУТСТВУЕТ","другие цвета","К/К ИЛЛЮЗИОН"
"Москва и Московская обл.","Москва","Автомобиль","угнали","22.05.2007","Lexus","RX 300","Р922РР01","2001","1024146","0172038"," ","10U410172038","другие цвета","Р-н Кожухово"
"Приморский край","Владивосток","Автомобиль","угнали","12.07.2007","Nissan","EXPERT","транзит","1998","OJ18-256811","vnvv11-000931"," "," ","другие цвета","Гаражный кооператив Первомайский район"
"Москва и Московская обл.","Москва","Автомобиль","угнали","10.06.2007","ВАЗ","21093","а 385ев90","1996"," "," "," "," ","другие цвета","15 микрорайон Зеленограда"
"Москва и Московская обл.","Москва","Автомобиль","угнали","13.07.2007","Mitsubishi","outlander 2.4","Е993ТР97","2004","KL7769","JMBXRCU5W5U001545"," ","JMBXRCU5W5U001545","другие цвета","Московская область. Новая купавна."
"Приморский край","Владивосток","Автомобиль","угнали","11.03.2007","Honda","FIT","25КР 7525","2002","L13A-1173839","GD1-1155932"," "," ","другие цвета","Г. Владивосток, карман у дома № 6 по ул. Шилкинской"
"Хабаровский край","Хабаровск","Автомобиль","угнали","10.11.2006","Toyota","Корона Премио","С433ММ 25","2001","7А","АТ-211"," "," ","другие цвета","г Хабаровск, р-н КАМАЗ-центра"
"Москва и Московская обл.","Москва","Автомобиль","угнали","13.07.2007","ВАЗ","21104","Н845АН150","2006"," "," "," "," ","другие цвета","Химки, Родионова 6"
"Приморский край","Владивосток","Автомобиль","угнали","18.07.2007","Mazda","мазда фамилия","О 614 РС","2001","QG132620036","VY115210096"," "," ","другие цвета","г. Владивосток"
"Приморский край","Владивосток","Автомобиль","угнали","07.07.2007","Suzuki","эскудо","о477ва","2003"," "," "," "," ","другие цвета","ул. Шошина(гараж)"
